City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
352,ust-omchug,0,RU,1525750391,68,61.13,149.63,45.42,9.44
353,codrington,92,AU,1525750391,100,-28.95,153.24,63.87,3.51
354,ardakan,20,IR,1525748400,32,32.31,54.02,68.0,4.7
355,ati,0,TD,1525750392,25,13.21,18.34,78.81,7.65
356,belmonte,0,PT,1525750392,87,40.36,-7.35,50.28,2.73
357,suluq,40,LY,1525749540,41,31.67,20.25,57.2,6.93
358,escanaba,1,US,1525748160,66,45.75,-87.06,51.8,4.7
359,san cristobal,75,EC,1525748400,93,-0.39,-78.55,51.8,2.24
360,chernyshevskiy,0,RU,1525750394,56,63.01,112.47,37.5,3.62
361,tuy hoa,24,VN,1525750394,78,13.08,109.3,87.18,5.97
362,ust-tsilma,88,RU,1525750395,100,65.44,52.15,34.17,4.07
363,cidreira,0,BR,1525750395,80,-30.17,-50.22,67.74,12.46
364,cockburn town,0,TC,1525750349,97,21.46,-71.14,79.53,24.09
365,salcininkai,0,LT,1525747800,71,54.3,25.38,51.8,2.24
366,punta cardon,20,VE,1525748400,65,11.61,-70.22,82.4,16.04
367,lingao,68,CN,1525750396,77,19.91,109.69,86.46,5.08
368,cacalchen,5,MX,1525747680,69,20.98,-89.23,77.0,5.82
369,vanimo,0,PG,1525750397,100,-2.67,141.3,82.14,4.74
370,general pico,20,AR,1525750397,96,-35.66,-63.75,65.94,6.98
371,haines junction,24,CA,1525750397,53,60.75,-137.51,43.44,2.62
372,houston,1,US,1525749300,53,29.76,-95.37,80.6,5.82
373,tolaga bay,0,NZ,1525750398,54,-38.37,178.3,64.05,4.63
374,port macquarie,88,AU,1525748400,60,-31.43,152.91,69.8,5.82
375,lasa,75,CY,1525748400,77,34.92,32.53,64.4,5.82
376,quatre cocos,40,MU,1525748400,88,-20.21,57.76,73.4,2.24
377,dawlatabad,0,AF,1525750400,31,36.41,64.91,68.64,4.52
378,goicea,0,RO,1525748400,87,43.92,23.62,57.2,3.36
379,youkounkoun,24,GN,1525750400,46,12.53,-13.12,81.6,6.98
380,villa carlos paz,75,AR,1525748400,100,-31.42,-64.5,66.2,2.24
